bibcode,astraatmadja_2016,bj_2015,bj_2018,bj_2021,bj_2023
2019A&A...631A.113F,0,0,1,0,0
2019A&A...631A.119L,0,0,3,0,0
2019A&A...631A.135D,0,0,1,0,0
2019A&A...631A.136L,0,0,1,0,0
2019A&A...631L..11S,0,0,2,0,0
2019A&A...632A..32M,0,0,2,0,0
2019A&A...632A..42B,0,0,4,0,0
2019AJ....157...40F,0,0,1,0,0
2019AJ....157...63K,0,0,2,0,0
2019AJ....157...73K,0,0,2,0,0
2019AJ....157...78J,1,0,0,0,0
2019AJ....157...93T,0,0,4,0,0
2019AJ....157..104B,0,0,14,0,0
2019AJ....157..118R,0,0,5,0,0
2019AJ....157..129H,0,0,4,0,0
2019AJ....157..140L,0,0,1,0,0
2019AJ....157..159A,0,0,7,0,0
2019AJ....157..174O,0,0,1,0,0
2019AJ....157..200Z,0,2,0,0,0
2019AJ....157..215S,0,0,1,0,0
2019AJ....157..218K,0,0,1,0,0
2019AJ....157..231K,0,0,4,0,0
2019AJ....158...13N,0,1,0,0,0
2019AJ....158...20M,0,1,11,0,0
2019AJ....158...46B,0,0,3,0,0
2019AJ....158...73K,0,1,4,0,0
2019AJ....158...75H,0,1,3,0,0
2019AJ....158...81C,1,1,1,0,0
2019AJ....158...87D,0,0,4,0,0
2019AJ....158...93B,0,0,1,0,0
2019AJ....158..100H,0,0,1,0,0
2019AJ....158..106C,0,0,3,0,0
2019AJ....158..131P,0,0,1,0,0
2019AJ....158..134M,0,0,2,0,0
2019AJ....158..138S,0,0,3,0,0
2019AJ....158..147H,0,0,2,0,0
2019AJ....158..162F,0,0,2,0,0
2019AJ....158..174D,0,0,2,0,0
2019AJ....158..182G,0,0,4,0,0
2019AJ....158..186K,0,0,2,0,0
2019AJ....158..190H,0,0,2,0,0
2019AJ....158..245T,1,0,0,0,0
2019AJ....158..248L,0,0,1,0,0
2019AJ....158..249C,0,0,1,0,0
2019AN....340..598M,0,0,1,0,0
2019ASPC..523...43T,1,0,0,0,0
2019AcA....69...25G,0,0,1,0,0
2019AcA....69..283A,0,1,0,0,0
2019Ap&SS.364...18P,0,0,2,0,0
2019Ap&SS.364...32H,0,0,2,0,0
2019Ap&SS.364..152Y,0,0,6,0,0
2019Ap&SS.364..181P,0,0,1,0,0
2019ApJ...870...11B,0,0,1,0,0
2019ApJ...870...32K,0,0,1,0,0
2019ApJ...870...36M,0,0,2,0,0
2019ApJ...870L..17C,0,0,1,0,0
2019ApJ...871....5T,0,0,1,0,0
2019ApJ...871...49H,0,0,9,0,0
2019ApJ...871...58T,0,0,2,0,0
2019ApJ...871...92F,0,1,0,0,0
2019ApJ...871..146F,0,0,4,0,0
2019ApJ...871..184T,0,0,1,0,0
2019ApJ...871..208L,0,1,0,0,0
2019ApJ...871L...3C,0,0,1,0,0
2019ApJ...871L..12R,0,0,1,0,0
2019ApJ...872...42S,1,0,0,0,0
2019ApJ...872...56P,0,0,5,0,0
2019ApJ...872...58H,0,0,1,0,0
2019ApJ...872...60B,2,1,0,0,0
2019ApJ...872...85G,0,1,1,0,0
2019ApJ...872..158A,0,0,1,0,0
2019ApJ...872..205L,0,1,0,0,0
2019ApJ...872L...1C,0,0,1,0,0
2019ApJ...872L...9P,0,0,1,0,0
2019ApJ...873...62H,0,0,1,0,0
2019ApJ...873..130Z,0,0,1,0,0
2019ApJ...874...74L,0,0,1,0,0
2019ApJ...874...97S,0,0,1,0,0
2019ApJ...874..178S,0,1,0,0,0
2019ApJ...874L...8K,0,1,2,0,0
2019ApJ...874L..35M,0,0,1,0,0
2019ApJ...875...29M,0,0,8,0,0
2019ApJ...875...89M,0,0,2,0,0
2019ApJ...875L...7D,0,0,1,0,0
2019ApJ...875L...9W,0,1,0,0,0
2019ApJ...876....8S,1,0,1,0,0
2019ApJ...876..113S,1,0,0,0,0
2019ApJ...876..115S,0,0,1,0,0
2019ApJ...877...12T,0,0,1,0,0
2019ApJ...877...29M,0,0,2,0,0
2019ApJ...877...50T,0,0,1,0,0
2019ApJ...877...78S,0,0,2,0,0
2019ApJ...877..104Z,0,0,1,0,0
2019ApJ...877..116W,0,0,2,0,0
2019ApJ...877L...7W,0,0,1,0,0
2019ApJ...877L..17K,0,0,4,0,0
2019ApJ...877L..29C,0,0,3,0,0
2019ApJ...878...15H,0,0,1,0,0
2019ApJ...878...21T,0,0,3,0,0
2019ApJ...878...45B,0,0,2,0,0
2019ApJ...878..120S,1,0,0,0,0
2019ApJ...878..136Z,0,1,0,0,0
2019ApJ...878..155D,0,0,3,0,0
2019ApJ...878L..35K,0,0,1,0,0
2019ApJ...878L..37F,0,0,1,0,0
2019ApJ...879...39J,0,0,3,0,0
2019ApJ...880...36Y,0,2,2,0,0
2019ApJ...880...65Y,0,0,1,0,0
2019ApJ...880...79F,0,1,0,0,0
2019ApJ...880...94L,0,0,1,0,0
2019ApJ...880..134G,0,0,1,0,0
2019ApJ...881...49G,0,0,3,0,0
2019ApJ...881...79M,0,0,1,0,0
2019ApJ...881...84S,0,0,1,0,0
2019ApJ...881..141L,0,0,1,0,0
2019ApJ...881..159M,0,0,1,0,0
2019ApJ...882...27M,0,0,2,0,0
2019ApJ...882...37R,0,0,1,0,0
2019ApJ...882..169F,0,0,1,0,0
2019ApJ...882..171A,0,4,0,0,0
2019ApJ...882..180S,0,0,2,0,0
2019ApJ...883...22C,0,0,1,0,0
2019ApJ...883...39L,1,1,1,0,0
2019ApJ...883...79D,0,0,1,0,0
2019ApJ...883...88B,0,0,2,0,0
2019ApJ...883..107C,0,0,2,0,0
2019ApJ...883..175Y,0,0,2,0,0
2019ApJ...883..205B,0,0,1,0,0
2019ApJ...883L..16C,0,0,1,0,0
2019ApJ...884....8L,0,0,3,0,0
2019ApJ...884...28S,0,0,1,0,0
2019ApJ...884...97L,0,0,1,0,0
2019ApJ...884..108M,0,0,3,0,0
2019ApJ...884..159B,0,0,2,0,0
2019ApJ...884L..56T,0,0,1,0,0
2019ApJ...885...19Y,0,1,0,0,0
2019ApJ...885...31C,0,0,1,0,0
2019ApJ...885...45G,0,0,4,0,0
2019ApJ...885...68B,0,0,3,0,0
2019ApJ...885...74C,0,1,0,0,0
2019ApJ...885...84G,0,0,1,0,0
2019ApJ...885..131R,0,2,0,0,0
2019ApJ...885..139G,0,0,4,0,0
2019ApJ...885..166Z,0,0,1,0,0
2019ApJ...885L...7F,0,0,1,0,0
2019ApJ...886...10T,0,3,2,0,0
2019ApJ...886...68A,1,0,0,0,0
2019ApJ...886..103O,0,0,1,0,0
2019ApJ...886..117L,0,0,2,0,0
2019ApJ...886..154Y,0,0,2,0,0
2019ApJ...886L..12B,0,0,1,0,0
2019ApJ...886L..14G,0,0,1,0,0
2019ApJ...887...22C,0,0,5,0,0
2019ApJ...887...32C,0,0,1,0,0
2019ApJ...887..136C,0,0,1,0,0
2019ApJ...887L..32C,0,0,1,0,0
2019ApJS..240...13L,1,0,0,0,0
2019ApJS..240...21A,0,0,2,0,0
2019ApJS..240...23A,0,0,2,0,0
2019ApJS..240...31Z,0,0,4,0,0
2019ApJS..241...12S,0,0,5,0,0
2019ApJS..242...13Q,0,0,2,0,0
2019ApJS..243....7H,0,0,4,0,0
2019ApJS..243...10P,0,0,1,0,0
2019ApJS..244....4D,1,1,3,0,0
2019ApJS..244....8Z,0,0,5,0,0
2019ApJS..244...18P,0,0,4,0,0
2019ApJS..244...28T,0,0,4,0,0
2019ApJS..244...43Z,0,0,2,0,0
2019AstL...45...62M,0,0,1,0,0
2019AstL...45..341M,0,0,2,0,0
2019AstL...45..361I,0,0,1,0,0
2019AstL...45..605G,0,0,1,0,0
2019BAAA...61...72S,0,0,1,0,0
2019BAAA...61..110B,0,0,1,0,0
2019BlgAJ..31...68K,0,0,2,0,0
2019CoSka..49..320Z,0,0,1,0,0
2019CoSka..49..503Z,0,0,1,0,0
2019IAUS..343..349A,0,0,1,0,0
2019IAUS..343..394E,0,0,1,0,0
2019IAUS..346...67G,0,0,1,0,0
2019IBVS.6258....1P,0,0,2,0,0
2019IBVS.6260....1P,0,0,1,0,0
2019JAVSO..47....7A,0,2,0,0,0
2019JAVSO..47...43M,0,0,2,0,0
2019JAVSO..47...53A,0,2,0,0,0
2019JAVSO..47..157S,0,1,0,0,0
2019JAVSO..47..209M,0,0,1,0,0
2019JAVSO..47..231A,0,1,0,0,0
2019MNRAS.482.1807K,1,0,0,0,0
2019MNRAS.482.3415I,0,1,0,0,0
2019MNRAS.482.3831P,0,1,3,0,0
2019MNRAS.482.3868I,0,0,1,0,0
2019MNRAS.482.4408G,0,0,1,0,0
2019MNRAS.482.5553J,0,0,1,0,0
2019MNRAS.482.5567N,0,0,1,0,0
2019MNRAS.482.5651M,1,0,0,0,0
2019MNRAS.483..299G,0,1,1,0,0
2019MNRAS.483.2282R,0,0,1,0,0
2019MNRAS.483.2300S,0,0,1,0,0
2019MNRAS.483.2941W,0,0,1,0,0
2019MNRAS.483.3448M,0,0,2,0,0
2019MNRAS.483.4277C,0,0,5,0,0
2019MNRAS.483.5508F,1,0,2,0,0
2019MNRAS.483.5518K,1,0,1,0,0
2019MNRAS.484..101B,0,0,1,0,0
2019MNRAS.484..648P,0,0,1,0,0
2019MNRAS.484.1800S,0,0,2,0,0
2019MNRAS.484.1838B,0,1,1,0,0
2019MNRAS.484.1926D,0,0,2,0,0
2019MNRAS.484.2166S,0,1,2,0,0
2019MNRAS.484.3291T,0,0,1,0,0
2019MNRAS.484.3746D,0,0,1,0,0
2019MNRAS.484.5468O,0,0,1,0,0
2019MNRAS.484.5578R,0,0,26,0,0
2019MNRAS.484L..64S,0,1,0,0,0
2019MNRAS.485..961J,0,0,1,0,0
2019MNRAS.485.2312H,0,0,2,0,0
2019MNRAS.485.2380M,0,0,1,0,0
2019MNRAS.485.2642G,5,3,5,0,0
2019MNRAS.485.3112V,0,0,1,0,0
2019MNRAS.485.3134L,0,0,3,0,0
2019MNRAS.485.3360T,0,0,1,0,0
2019MNRAS.485.3527S,0,0,4,0,0
2019MNRAS.485.3876G,0,0,2,0,0
2019MNRAS.485.4330K,0,0,3,0,0
2019MNRAS.485.4423S,0,2,0,0,0
2019MNRAS.485.4502C,0,0,1,0,0
2019MNRAS.485.4967F,0,0,2,0,0
2019MNRAS.486..251D,0,1,0,0,0
2019MNRAS.486.1019T,0,0,1,0,0
2019MNRAS.486.1718S,0,2,0,0,0
2019MNRAS.486.1907J,0,0,10,0,0
2019MNRAS.486.2169K,0,0,1,0,0
2019MNRAS.486.2631H,0,0,1,0,0
2019MNRAS.486.3524K,0,0,1,0,0
2019MNRAS.486.3569H,1,1,5,0,0
2019MNRAS.486.4348Z,0,0,1,0,0
2019MNRAS.486.4638U,0,0,1,0,0
2019MNRAS.486.5094W,0,0,1,0,0
2019MNRAS.486.5535M,0,0,1,0,0
2019MNRAS.487.1400C,0,0,2,0,0
2019MNRAS.487.1462F,0,0,1,0,0
2019MNRAS.487.1865W,0,0,1,0,0
2019MNRAS.487.2385M,0,0,1,0,0
2019MNRAS.487.2474C,0,0,4,0,0
2019MNRAS.487.2522M,0,0,1,0,0
2019MNRAS.487.2771N,1,4,0,0,0
2019MNRAS.487.2977G,0,0,3,0,0
2019MNRAS.487.3568S,1,0,8,0,0
2019MNRAS.487.3797B,0,1,0,0,0
2019MNRAS.487.4603T,0,0,1,0,0
2019MNRAS.487.4695S,1,0,3,0,0
2019MNRAS.487.4751T,0,1,0,0,0
2019MNRAS.487.4832C,0,1,5,0,0
2019MNRAS.487.5932P,0,0,1,0,0
2019MNRAS.488...18H,0,0,2,0,0
2019MNRAS.488..536H,0,1,0,0,0
2019MNRAS.488.1090C,0,0,1,0,0
2019MNRAS.488.1760S,1,0,10,0,0
2019MNRAS.488.2158M,0,1,0,0,0
2019MNRAS.488.2283L,0,0,6,0,0
2019MNRAS.488.2455R,0,0,1,0,0
2019MNRAS.488.3129Y,0,0,3,0,0
2019MNRAS.488.3507P,0,0,1,0,0
2019MNRAS.488.4033G,0,1,1,0,0
2019MNRAS.488.4427Z,0,0,2,0,0
2019MNRAS.489..420R,0,0,1,0,0
2019MNRAS.489..910E,0,1,1,0,0
2019MNRAS.489..928S,0,0,3,0,0
2019MNRAS.489..951D,0,0,1,0,0
2019MNRAS.489.1044B,0,0,1,0,0
2019MNRAS.489.1054L,0,0,2,0,0
2019MNRAS.489.1304B,0,0,4,0,0
2019MNRAS.489.1489R,0,0,1,0,0
2019MNRAS.489.1644W,0,0,2,0,0
2019MNRAS.489.1742F,0,0,1,0,0
2019MNRAS.489.2079L,0,1,0,0,0
2019MNRAS.489.2195J,0,0,1,0,0
2019MNRAS.489.2505M,0,0,1,0,0
2019MNRAS.489.2615M,0,0,4,0,0
2019MNRAS.489.2819V,0,1,0,0,0
2019MNRAS.489.2930Z,0,0,1,0,0
2019MNRAS.489.2961B,0,0,2,0,0
2019MNRAS.489.3116A,1,1,0,0,0
2019MNRAS.489.3149S,0,0,1,0,0
2019MNRAS.489.4125V,0,0,1,0,0
2019MNRAS.489.4565K,0,0,1,0,0
2019MNRAS.489.5146J,0,0,1,0,0
2019MNRAS.490..157M,3,4,4,0,0
2019MNRAS.490..440L,0,0,1,0,0
2019MNRAS.490..550L,0,0,1,0,0
2019MNRAS.490..797C,2,1,0,0,0
2019MNRAS.490.1066D,0,0,1,0,0
2019MNRAS.490.1383R,0,2,1,0,0
2019MNRAS.490.1803R,0,0,2,0,0
2019MNRAS.490.3158C,0,0,5,0,0
2019MNRAS.490.4254N,0,0,3,0,0
2019MNRAS.490.4465R,1,0,0,0,0
2019MNRAS.490.5615B,0,0,1,0,0
2019MNRAS.490.5647M,0,0,2,0,0
2019MmSAI..90..221K,0,0,1,0,0
2019MmSAI..90..395J,0,1,1,0,0
2019MmSAI..90..586M,0,0,1,0,0
2019NatAs...3..922F,0,0,1,0,0
2019NewA...68...51M,0,0,1,0,0
2019NewA...72....9K,0,0,2,0,0
2019NewA...7301279N,0,0,1,0,0
2019NewAR..8601546K,0,0,2,0,0
2019OEJV..197...23M,0,0,1,0,0
2019PASA...36...40K,0,0,1,0,0
2019PASA...36...42M,0,0,4,0,0
2019PASJ...71...22I,0,0,2,0,0
2019PASP..131d4501M,0,1,0,0,0
2019PhDT.......247B,0,1,23,0,0
2019RAA....19...14K,0,0,1,0,0
2019RNAAS...3...43Z,0,0,1,0,0
